Date,Time,Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Average Effective Clock [MHz],Core Temperatures (avg) [°C],Core 0 [°C],Core 1 [°C],Core 2 [°C],Core 3 [°C],Core Distance to TjMAX (avg) [°C],Core 0 Distance to TjMAX [°C],Core 1 Distance to TjMAX [°C],Core 2 Distance to TjMAX [°C],Core 3 Distance to TjMAX [°C],CPU Package [°C],Core Max [°C],CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],CPU Package Power [W]
16.7.2022,47:40.9,3369.2,3194.5,3494,3494,3294.4,3222.5,93,93,89,95,94,7,7,11,5,6,95,95,95,95,67,39.329
16.7.2022,47:43.0,3392.5,3292.7,3492.3,3392.5,3392.5,3245.2,92,92,87,95,94,8,8,13,5,6,95,95,94,94,66,38.834
16.7.2022,47:45.6,3393.4,3393.4,3293.6,3493.2,3393.4,3317.2,92,93,88,94,94,8,7,12,6,6,94,94,95,95,67,38.946
16.7.2022,47:48.2,3441.6,3391.7,3391.7,3491.5,3491.5,3346.4,92,93,88,94,94,8,7,12,6,6,95,94,95,95,67,38.766
16.7.2022,47:51.4,3392.5,3392.5,3392.5,3392.5,3392.5,3328.5,92,94,88,93,93,8,6,12,7,7,94,94,95,95,65,38.809
16.7.2022,47:54.2,3390,3290.3,3390,3390,3489.7,3348,93,95,89,95,92,7,5,11,5,8,95,95,96,96,67,38.513
16.7.2022,47:56.9,3493.2,3393.4,3493.2,3692.8,3393.4,3406.6,93,94,89,94,94,7,6,11,6,6,95,94,95,95,69,39.32
16.7.2022,47:59.4,3465.7,3490.6,3390.9,3490.6,3490.6,3395.5,92,94,88,94,92,8,6,12,6,8,94,94,95,95,67,39.31
16.7.2022,48:01.9,3345.1,3395,3494.9,3195.3,3295.2,3371.7,93,93,90,96,92,7,7,10,4,8,95,96,95,95,66,38.906
16.7.2022,48:06.0,3466.5,3291.9,3391.7,3491.5,3691,3352.9,92,95,88,94,92,8,5,12,6,8,95,95,95,95,66,38.521
16.7.2022,48:10.4,3464,3389.2,3389.2,3488.9,3588.6,3366.5,92,94,86,94,93,8,6,14,6,7,96,94,95,95,67,36.152
16.7.2022,48:15.0,3389.2,3289.5,3389.2,3389.2,3488.9,3439.2,92,92,89,95,93,8,8,11,5,7,95,95,95,95,69,41.876
16.7.2022,48:18.0,3543.9,3593.8,3593.8,3494,3494,3454.3,93,94,87,95,94,8,6,13,5,6,94,95,94,94,70,39.882
16.7.2022,48:21.9,3515.5,3390.9,3590.3,3590.3,3490.6,3475.5,91,94,88,95,88,9,6,12,5,12,94,95,93,93,70,39.535
16.7.2022,48:24.8,3541.3,3691,3491.5,3391.7,3591.2,3468.7,92,93,88,95,92,8,7,12,5,8,93,95,96,96,70,39.617
16.7.2022,48:27.6,3440.7,3390.9,3390.9,3291.1,3690,3452.8,93,93,88,95,94,8,7,12,5,6,95,95,94,94,71,38.805
16.7.2022,48:29.9,3491.5,3491.5,3391.7,3391.7,3691,3458.9,93,95,88,92,97,7,5,12,8,3,95,97,95,95,71,39.23
16.7.2022,48:32.2,3366.8,3291.9,3391.7,3391.7,3391.7,3425.3,93,95,87,95,93,8,5,13,5,7,95,95,96,96,69,38.708
16.7.2022,48:34.2,3392.5,3392.5,3392.5,3392.5,3392.5,2925.8,78,79,80,76,77,22,21,20,24,23,80,80,82,82,71,37.047
16.7.2022,48:36.3,3866.5,3891.4,3891.4,3791.6,3891.4,1116.5,87,82,82,93,90,13,18,18,7,10,89,93,92,92,70,24.155
16.7.2022,48:38.4,3642,3691.9,3691.9,3691.9,3492.3,1495.4,83,83,84,82,84,17,17,16,18,16,84,84,89,89,69,28.548
16.7.2022,48:40.5,3193.8,3193.8,3193.8,3193.8,3193.8,1187.6,75,74,75,79,71,25,26,25,21,29,79,79,78,78,68,25.571
16.7.2022,48:43.4,3441.6,3391.7,3591.2,3291.9,3491.5,2105.1,92,93,86,96,92,8,7,14,4,8,96,96,95,95,67,30.512
16.7.2022,48:45.5,3516.4,3491.5,3391.7,3591.2,3591.2,3326.4,91,94,86,93,90,9,6,14,7,10,96,94,96,96,70,38.903
16.7.2022,48:47.5,3118.9,3193.8,3094,3094,3094,2752.1,74,76,76,72,72,26,24,24,28,28,76,76,79,79,69,35.375
16.7.2022,48:49.6,3592.1,3592.1,3691.9,3592.1,3492.3,1564.3,85,87,86,86,81,15,13,14,14,19,87,87,87,87,72,31.82
16.7.2022,48:51.7,3439.9,3390,3390,3489.7,3489.7,1402,79,76,77,81,82,21,24,23,19,18,82,82,84,84,72,27.761
16.7.2022,48:53.8,3291.1,3291.1,3291.1,3291.1,3291.1,1192.5,73,71,74,73,73,27,29,26,27,27,74,74,79,79,69,25.93
16.7.2022,48:56.0,3468.2,3393.4,3493.2,3493.2,3493.2,1921.6,92,94,86,95,93,8,6,14,5,7,96,95,95,95,70,29.698
16.7.2022,48:58.1,3441.6,3391.7,3591.2,3391.7,3391.7,2040.6,93,95,88,95,93,7,5,12,5,7,95,95,94,94,69,29.912
16.7.2022,49:00.2,3041.8,3091.7,3091.7,2991.9,2991.9,2898.1,77,75,77,78,76,24,25,23,22,24,77,78,79,79,70,36.087
16.7.2022,49:02.3,3290.3,3290.3,3290.3,3290.3,3290.3,1451.8,74,78,75,73,69,26,22,25,27,31,78,78,81,81,69,24.589
16.7.2022,49:04.4,3140.8,3190.6,3190.6,3090.9,3090.9,1970.2,72,76,73,69,69,28,24,27,31,31,76,76,79,79,68,29.653
16.7.2022,49:06.4,3567.1,3492.3,3592.1,3492.3,3691.9,2025.5,92,92,87,95,92,9,8,13,5,8,94,95,95,95,70,30.043
16.7.2022,49:08.5,3240.5,3290.3,3190.6,3190.6,3290.3,1497.2,74,73,73,77,72,26,27,27,23,28,77,77,77,77,68,28.014
16.7.2022,49:10.6,3445,3494.9,3494.9,3395,3395,1500.6,75,73,76,76,74,25,27,24,24,26,76,76,80,80,69,26.733
16.7.2022,49:12.8,3368.4,3293.6,3393.4,3393.4,3393.4,1907.4,92,94,88,95,92,8,6,12,5,8,95,95,93,93,70,28.917
16.7.2022,49:14.9,3442.4,3392.5,3392.5,3492.3,3492.3,1076.6,72,71,75,73,69,28,29,25,27,31,75,75,79,79,69,23.875
16.7.2022,49:17.0,3966.3,3891.4,3991.2,3991.2,3991.2,1246.4,89,93,86,85,91,11,7,14,15,9,96,93,96,96,68,26.206
16.7.2022,49:19.1,3391.7,3391.7,3391.7,3391.7,3391.7,1195.6,79,79,79,78,81,21,21,21,22,19,82,81,83,83,69,26.264
16.7.2022,49:21.2,3392.5,3392.5,3392.5,3392.5,3392.5,1328.9,72,71,75,70,71,28,29,25,30,29,75,75,77,77,71,25.373
16.7.2022,49:23.3,3888.6,3888.6,3888.6,3888.6,3888.6,1076.2,83,83,82,83,83,17,17,18,17,17,83,83,91,92,69,24.045
16.7.2022,49:25.4,3392.5,3392.5,3392.5,3392.5,3392.5,1144.1,74,74,75,76,71,26,26,25,24,29,76,76,80,80,69,25.077
16.7.2022,49:27.4,3367.6,3292.7,3392.5,3392.5,3392.5,1267.5,79,82,80,76,77,21,18,20,24,23,82,82,86,86,70,26.024
16.7.2022,49:29.6,3392.5,3392.5,3392.5,3392.5,3392.5,1073.2,77,78,77,76,75,24,22,23,24,25,78,78,81,81,69,23.598
16.7.2022,49:31.6,3989.2,3989.2,3989.2,3989.2,3989.2,1631.2,86,89,86,83,87,14,11,14,17,13,89,89,91,91,68,29.584
16.7.2022,49:33.7,3392.5,3392.5,3392.5,3392.5,3392.5,1107.2,73,74,76,72,71,27,26,24,28,29,77,76,80,80,69,24.428
16.7.2022,49:35.7,3242.1,3291.9,3291.9,3192.2,3192.2,988.6,72,70,75,73,70,28,30,25,27,30,75,75,76,76,68,22.101
16.7.2022,49:37.8,3291.1,3291.1,3291.1,3291.1,3291.1,1069.7,73,72,75,70,73,28,28,25,30,27,75,75,77,77,68,23.012
16.7.2022,49:39.9,3390.9,3390.9,3390.9,3390.9,3390.9,1155.2,72,71,71,69,76,28,29,29,31,24,76,76,81,81,67,23.475
16.7.2022,49:41.9,3341.8,3391.7,3391.7,3291.9,3291.9,1155.5,74,73,75,77,71,26,27,25,23,29,76,77,81,81,69,24.171
16.7.2022,49:44.0,3390.9,3390.9,3390.9,3390.9,3390.9,945,72,71,75,69,72,28,29,25,31,28,75,75,77,77,68,21.87
16.7.2022,49:46.1,3290.3,3290.3,3290.3,3290.3,3290.3,1158.3,70,70,70,75,66,30,30,30,25,34,75,75,79,79,67,24.028
16.7.2022,49:48.2,3442.4,3392.5,3392.5,3492.3,3492.3,900.1,71,71,75,69,70,29,29,25,31,30,75,75,79,79,66,22.073
16.7.2022,49:50.3,3590.3,3390.9,3690,3690,3590.3,1759.6,92,94,88,94,90,9,6,12,6,10,96,94,95,95,68,28.805
16.7.2022,49:52.5,3717.7,3493.2,3792.6,3892.4,3692.8,3249.4,91,92,86,90,95,9,8,14,10,5,95,95,96,96,68,38.958
16.7.2022,49:54.5,3390,3390,3390,3390,3390,1567.1,72,70,76,72,69,28,30,24,28,31,75,76,80,80,68,27.057
16.7.2022,49:56.6,3415.8,3490.6,3390.9,3390.9,3390.9,991.3,73,72,73,73,73,27,28,27,27,27,73,73,80,80,68,22.682
16.7.2022,49:58.7,3440.7,3490.6,3390.9,3490.6,3390.9,1080.8,73,71,71,79,72,27,29,29,21,28,80,79,79,79,68,23.312
